,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
0,2018 Maruti Wagon R 1.0 VXI MANUAL,"413,399",Non-Accidental,"13,779 km",MANUAL,Valid upto Jun 2022Comp,1st Owner,Petrol,GJ-03-K-x-xxxx,April 2018,
1,2018 Maruti Swift VXI MANUAL,"504,999",Non-Accidental,"80,785 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-01-H-x-xxxx,September 2018,
2,2018 Mahindra TUV300 T10 MT MANUAL,"657,099",Non-Accidental,"118,642 km",MANUAL,Valid upto Aug 2022Comp,1st Owner,Diesel,GJ-09-B-x-xxxx,July 2018,"118,642km (01 Nov 2021)"
3,2018 Renault Kwid RXL MANUAL,"317,999",Non-Accidental,"19,764 km",MANUAL,Valid upto Oct 2022Comp,1st Owner,Petrol,GJ-06-L-x-xxxx,April 2018,"19,764km (11 Jan 2022)"
4,2017 Renault Kwid RXL MANUAL,"279,699",Non-Accidental,"71,025 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,GJ-27-B-x-xxxx,August 2017,"71,025km (19 Jan 2022)"
5,2017 Maruti Ertiga VDI SHVS MANUAL,"743,899",Non-Accidental,"84,977 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-27-B-x-xxxx,October 2017,"84,977km (17 Jan 2022)"
6,2017 Maruti Ertiga VDI SHVS MANUAL,"763,199",Non-Accidental,"47,111 km",MANUAL,Valid upto Jun 2022Zero_Dep,1st Owner,Diesel,GJ-21-B-x-xxxx,June 2017,"47,111km (28 Dec 2021)"
7,2017 Maruti Ertiga VDI SHVS MANUAL,"686,999",Non-Accidental,"84,213 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,GJ-01-R-x-xxxx,May 2017,"84,213km (30 Nov 2021)"
8,2017 Ford Figo Aspire 1.5 TITANIUM DIESEL MANUAL,"461,299",Non-Accidental,"55,089 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-35-B-x-xxxx,October 2017,"55,089km (02 Jan 2022)"
9,2014 Maruti Swift VDI MANUAL,"379,799",Non-Accidental,"89,206 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,GJ-06-H-x-xxxx,March 2014,"89,206km (28 Dec 2021)"
10,2016 Maruti Ertiga VDI SHVS MANUAL,"641,299",Non-Accidental,"70,459 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,GJ-01-R-x-xxxx,July 2016,"70,459km (28 Dec 2021)"
11,2018 Maruti Ertiga VDI SHVS MANUAL,"764,299",Non-Accidental,"68,053 km",MANUAL,Valid upto Aug 2022Zero_Dep,1st Owner,Diesel,GJ-01-H-x-xxxx,June 2018,"68,053km (25 Nov 2021)"
12,2018 Hyundai Creta 1.4 E PLUS CRDI MANUAL,"822,999",Non-Accidental,"241,497 km",MANUAL,Valid upto Aug 2022Zero_Dep,1st Owner,Diesel,GJ-27-C-x-xxxx,August 2018,"241,497km (01 Jan 2022)"
13,2014 Maruti Swift VXI MANUAL,"430,099",Non-Accidental,"77,934 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,GJ-27-A-x-xxxx,April 2014,"77,934km (18 Dec 2021)"
14,2016 Maruti Ciaz VXI MANUAL,"615,299",Non-Accidental,"75,343 km",MANUAL,Valid upto Jul 2022Zero_Dep,1st Owner,Petrol,GJ-01-R-x-xxxx,March 2016,"75,343km (03 Jan 2022)"
15,2014 Hyundai i20 SPORTZ 1.2 VTVT MANUAL,"471,199",Non-Accidental,"25,016 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,GJ-01-R-x-xxxx,January 2014,"25,016km (17 Jan 2022)"
16,2012 Toyota Fortuner 3.0 MT 4X4 MANUAL,"989,099",Non-Accidental,"184,782 km",MANUAL,Valid upto Jan 20233rd Party,3rd Owner,Diesel,GJ-05-J-x-xxxx,April 2012,"184,782km (11 Jan 2022)"
17,2017 Hyundai Creta 1.6 CRDI SX PLUS AUTO AUTOMATIC,"932,599",Non-Accidental,"89,732 km",AUTOMATIC,Valid upto May 2022Third_party,2nd Owner,Diesel,GJ-04-C-x-xxxx,April 2017,"89,732km (28 Dec 2021)"
18,2018 Maruti Ciaz ZETA 1.4 VVT  MANUAL,"716,499",Non-Accidental,"83,093 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-01-H-x-xxxx,February 2018,"83,093km (30 Dec 2021)"
19,2017 Honda City VX MT DIESEL MANUAL,"786,599",Non-Accidental,"103,475 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,GJ-05-J-x-xxxx,January 2017,"103,475km (23 Dec 2021)"
20,2018 Maruti Ertiga VDI SHVS LIMITED EDITION MANUAL,"797,199",Non-Accidental,"71,257 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-27-C-x-xxxx,June 2018,"71,257km (01 Nov 2021)"
21,2015 Maruti Swift VDI MANUAL,"404,999",Non-Accidental,"183,063 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-R-x-xxxx,March 2015,"183,063km (17 Nov 2021)"
22,2018 Datsun Redi Go T (O) MANUAL,"306,199",Non-Accidental,"23,684 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,GJ-27-C-x-xxxx,April 2018,"23,684km (17 Nov 2021)"
23,2012 Toyota Fortuner 3.0 MT 4X4 MANUAL,"1,126,799",Non-Accidental,"147,136 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,GJ-01-K-x-xxxx,May 2012,"147,136km (04 Jan 2022)"
24,2018 Maruti Ciaz DELTA 1.5 SHVS VVT MANUAL,"729,899",Non-Accidental,"24,438 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,GJ-02-C-x-xxxx,June 2018,"24,438km (30 Dec 2021)"
25,2017 Hyundai Elite i20 SPORTZ 1.4 MANUAL,"595,699",Non-Accidental,"96,155 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-13-A-x-xxxx,September 2017,"96,155km (09 Nov 2021)"
26,2014 Maruti Swift VDI MANUAL,"365,399",Non-Accidental,"92,390 km",MANUAL,Valid upto Jan 20233rd Party,4th Owner,Diesel,GJ-10-B-x-xxxx,January 2014,"92,390km (14 Dec 2021)"
27,2018 Ford Figo Aspire 1.2 TITANIUM PETROL MANUAL,"544,399",Non-Accidental,"46,791 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-01-H-x-xxxx,August 2018,"46,791km (12 Jan 2022)"
28,2018 Maruti Ertiga ZDI PLUS SHVS MANUAL,"824,999",Non-Accidental,"108,208 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Diesel,GJ-01-H-x-xxxx,March 2018,"108,208km (07 Dec 2021)"
29,2015 Maruti Swift VXI MANUAL,"507,999",Non-Accidental,"36,339 km",MANUAL,Valid upto Oct 2022Comp,1st Owner,Petrol,GJ-12-C-x-xxxx,March 2015,"36,339km (05 Jan 2022)"
30,2018 Volkswagen Polo HIGH LINE PLUS 1.0 MANUAL,"641,299",Non-Accidental,"50,616 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-15-C-x-xxxx,February 2018,"50,616km (10 Jan 2022)"
31,2017 Maruti S Cross ZETA 1.3 MANUAL,"657,599",Non-Accidental,"112,490 km",MANUAL,Valid upto May 2022Zero_Dep,1st Owner,Diesel,GJ-01-R-x-xxxx,May 2017,"112,490km (01 Jan 2022)"
32,2017 Hyundai Elite i20 SPORTZ 1.4 MANUAL,"632,899",Non-Accidental,"72,459 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-H-x-xxxx,November 2017,"72,459km (14 Dec 2021)"
33,2017 Hyundai Elite i20 1.4 CRDI ASTA (O) MANUAL,"633,799",Non-Accidental,"96,475 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-R-x-xxxx,February 2017,"96,475km (24 Nov 2021)"
34,2017 Maruti S Cross ZETA 1.3 MANUAL,"672,999",Non-Accidental,"97,193 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-09-B-x-xxxx,July 2017,"97,193km (29 Dec 2021)"
35,2017 Maruti S Cross ZETA 1.3 MANUAL,"668,299",Non-Accidental,"83,408 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-08-B-x-xxxx,January 2017,"83,408km (01 Jan 2022)"
36,2018 Ford Figo Aspire 1.5 TITANIUM DIESEL MANUAL,"536,099",Non-Accidental,"36,334 km",MANUAL,Valid upto Sep 2022Zero Depreciation,1st Owner,Diesel,GJ-18-B-x-xxxx,January 2018,"36,334km (12 Jan 2022)"
37,2018 Honda City VX CVT PETROL AUTOMATIC,"957,799",Non-Accidental,"94,837 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-01-H-x-xxxx,June 2018,"94,837km (01 Jan 2022)"
38,2020 Hyundai Elite i20 ASTA 1.2 (O) MANUAL,"800,399",Non-Accidental,"10,201 km",MANUAL,Valid upto Aug 2022Zero_Dep,1st Owner,Petrol,GJ-05-R-x-xxxx,July 2020,"10,201km (30 Dec 2021)"
39,2017 Hyundai Elite i20 SPORTZ 1.4 MANUAL,"661,499",Non-Accidental,"43,470 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-H-x-xxxx,October 2017,"43,470km (27 Dec 2021)"
40,2018 Renault Kwid 1.0 RXT Opt MANUAL,"358,299",Non-Accidental,"29,528 km",MANUAL,Valid upto Oct 2022Zero_Dep,1st Owner,Petrol,GJ-05-R-x-xxxx,September 2018,"29,528km (29 Dec 2021)"
41,2018 Datsun Redi Go T (O) MANUAL,"317,799",Non-Accidental,"8,368 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-27-C-x-xxxx,April 2018,"8,368km (18 Jan 2022)"
42,2013 Maruti Swift Dzire VXI 1.2 BS IV MANUAL,"419,399",Non-Accidental,"79,182 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,GJ-05-J-x-xxxx,April 2013,"79,182km (13 Jan 2022)"
43,2015 Maruti Wagon R 1.0 LXI MANUAL,"321,899",Non-Accidental,"104,826 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-01-R-x-xxxx,April 2015,"104,826km (21 Oct 2021)"
